y,fzone,punt,kick,gofor
1,1,0.16,0,0.84
1,2,0.9505,0,0.0495
1,3,1,0,0
1,4,1,0,0
2,1,0.1095,0,0.8905
2,2,0.952,0,0.048
2,3,1,0,0
2,4,1,0,0
3,1,0.304,0,0.696
3,2,0.993,0,0.007
3,3,1,0,0
3,4,1,0,0
4,1,0.0295,0,0.9705
4,2,0.892,0,0.108
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.0765,0,0.9235
5,3,0.9915,0,0.0085
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.2475,0.087,0.6655
6,4,0.8835,0.11,0.0065
7,1,0,0.4165,0.5835
7,2,0,0.9935,0.0065
7,3,0,1,0
7,4,0,1,0
8,1,0,0.1395,0.8605
8,2,0,0.9835,0.0165
8,3,0,1,0
8,4,0,1,0
9,1,0,0.802,0.198
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0295,0.9705
10,2,0,0.877,0.123
10,3,0,0.9995,0.0005
10,4,0,1,0
