y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.4385,0,0.5615
1,3,1,0,0
1,4,1,0,0
2,1,0.051,0,0.949
2,2,0.927,0,0.073
2,3,1,0,0
2,4,1,0,0
3,1,0.401,0,0.599
3,2,0.998,0,0.002
3,3,1,0,0
3,4,1,0,0
4,1,0.1045,0,0.8955
4,2,0.9845,0,0.0155
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.1175,0,0.8825
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0,0.007,0.993
6,2,0,0.0185,0.9815
6,3,0.1975,0.059,0.7435
6,4,0.907,0.0845,0.0085
7,1,0,0.024,0.976
7,2,0,0.802,0.198
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0005,0.9995
8,2,0,0.483,0.517
8,3,0,1,0
8,4,0,1,0
9,1,0,0.2895,0.7105
9,2,0,0.993,0.007
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0025,0.9975
10,2,0,0.6255,0.3745
10,3,0,0.993,0.007
10,4,0,1,0
