y,fzone,punt,kick,gofor
1,1,0.5015,0,0.4985
1,2,0.996,0,0.004
1,3,1,0,0
1,4,1,0,0
2,1,0.374,0,0.626
2,2,0.9945,0,0.0055
2,3,1,0,0
2,4,1,0,0
3,1,0.677,0,0.323
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.2685,0,0.7315
4,2,0.992,0,0.008
4,3,1,0,0
4,4,1,0,0
5,1,0.0035,0,0.9965
5,2,0.593,0,0.407
5,3,1,0,0
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0.0015,0.0325,0.966
6,3,0.7805,0.0685,0.151
6,4,0.9305,0.0695,0
7,1,0,0.643,0.357
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.481,0.519
8,2,0,0.9995,0.0005
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9625,0.0375
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.223,0.777
10,2,0,0.985,0.015
10,3,0,1,0
10,4,0,1,0
