y,fzone,punt,kick,gofor
1,1,0.2045,0,0.7955
1,2,0.965,0,0.035
1,3,1,0,0
1,4,1,0,0
2,1,0.1365,0,0.8635
2,2,0.9625,0,0.0375
2,3,1,0,0
2,4,1,0,0
3,1,0.353,0,0.647
3,2,0.995,0,0.005
3,3,1,0,0
3,4,1,0,0
4,1,0.045,0,0.955
4,2,0.922,0,0.078
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.1155,0,0.8845
5,3,0.994,0,0.006
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.321,0.084,0.595
6,4,0.894,0.1015,0.0045
7,1,0,0.4325,0.5675
7,2,0,0.9935,0.0065
7,3,0,1,0
7,4,0,1,0
8,1,0,0.1655,0.8345
8,2,0,0.9865,0.0135
8,3,0,1,0
8,4,0,1,0
9,1,0,0.824,0.176
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.036,0.964
10,2,0,0.8945,0.1055
10,3,0,0.9995,0.0005
10,4,0,1,0
