y,fzone,punt,kick,gofor
1,1,0.003,0,0.997
1,2,0.1665,0,0.8335
1,3,0.9685,0,0.0315
1,4,0.997,0,0.003
2,1,0.002,0,0.998
2,2,0.145,0,0.855
2,3,0.9895,0,0.0105
2,4,0.9995,0,0.0005
3,1,0,0,1
3,2,0.2995,0,0.7005
3,3,0.998,0,0.002
3,4,1,0,0
4,1,0,0,1
4,2,0.0015,0,0.9985
4,3,0.742,0,0.258
4,4,0.9995,0,0.0005
5,1,0,0,1
5,2,0,0,1
5,3,0.012,0,0.988
5,4,0.787,0,0.213
6,1,0,0.008,0.992
6,2,0,0.025,0.975
6,3,0,0.083,0.917
6,4,0.054,0.215,0.731
7,1,0,0.009,0.991
7,2,0,0.6545,0.3455
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0075,0.9925
8,3,0,0.942,0.058
8,4,0,1,0
9,1,0,0.002,0.998
9,2,0,0.6125,0.3875
9,3,0,0.9875,0.0125
9,4,0,0.9995,0.0005
10,1,0,0,1
10,2,0,0.003,0.997
10,3,0,0.627,0.373
10,4,0,0.956,0.044
