y,fzone,punt,kick,gofor
1,1,0.9795,0,0.0205
1,2,0.9875,0,0.0125
1,3,0.9975,0,0.0025
1,4,1,0,0
2,1,0.983,0,0.017
2,2,0.9875,0,0.0125
2,3,0.9935,0,0.0065
2,4,0.9995,0,0.0005
3,1,0.988,0,0.012
3,2,0.99,0,0.01
3,3,0.997,0,0.003
3,4,1,0,0
4,1,0.977,0,0.023
4,2,0.9885,0,0.0115
4,3,0.993,0,0.007
4,4,0.997,0,0.003
5,1,0.8135,0,0.1865
5,2,0.9925,0,0.0075
5,3,0.994,0,0.006
5,4,0.9965,0,0.0035
6,1,0.1215,0.0145,0.864
6,2,0.9445,0.0225,0.033
6,3,0.9725,0.0225,0.005
6,4,0.9725,0.0225,0.005
7,1,0,0.9375,0.0625
7,2,0.0005,0.9845,0.015
7,3,0.002,0.998,0
7,4,0.002,0.998,0
8,1,0,0.963,0.037
8,2,0,0.9775,0.0225
8,3,0,0.998,0.002
8,4,0,1,0
9,1,0,0.9735,0.0265
9,2,0,0.996,0.004
9,3,0,0.999,0.001
9,4,0,1,0
10,1,0,0.966,0.034
10,2,0,0.973,0.027
10,3,0,0.9815,0.0185
10,4,0,0.9945,0.0055
