y,fzone,punt,kick,gofor
1,1,0.9925,0,0.0075
1,2,0.9995,0,0.0005
1,3,1,0,0
1,4,1,0,0
2,1,0.979,0,0.021
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.995,0,0.005
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.971,0,0.029
4,2,0.9985,0,0.0015
4,3,1,0,0
4,4,1,0,0
5,1,0.74,0,0.26
5,2,0.996,0,0.004
5,3,0.997,0,0.003
5,4,0.998,0,0.002
6,1,0.056,0.014,0.93
6,2,0.9,0.024,0.076
6,3,0.9725,0.024,0.0035
6,4,0.973,0.024,0.003
7,1,0,0.911,0.089
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9455,0.0545
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9975,0.0025
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.91,0.09
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
