y,fzone,punt,kick,gofor
1,1,0.021,0,0.979
1,2,0.717,0,0.283
1,3,1,0,0
1,4,1,0,0
2,1,0.0115,0,0.9885
2,2,0.692,0,0.308
2,3,1,0,0
2,4,1,0,0
3,1,0.0495,0,0.9505
3,2,0.918,0,0.082
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.3645,0,0.6355
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.7145,0,0.2855
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.026,0.974
6,3,0.0065,0.0875,0.906
6,4,0.659,0.1635,0.1775
7,1,0,0.182,0.818
7,2,0,0.968,0.032
7,3,0,1,0
7,4,0,1,0
8,1,0,0.006,0.994
8,2,0,0.7655,0.2345
8,3,0,1,0
8,4,0,1,0
9,1,0,0.359,0.641
9,2,0,0.996,0.004
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0005,0.9995
10,2,0,0.4355,0.5645
10,3,0,0.9805,0.0195
10,4,0,0.9995,0.0005
