y,fzone,punt,kick,gofor
1,1,0.9755,0,0.0245
1,2,0.999,0,0.001
1,3,1,0,0
1,4,1,0,0
2,1,0.96,0,0.04
2,2,0.996,0,0.004
2,3,1,0,0
2,4,1,0,0
3,1,0.9875,0,0.0125
3,2,0.999,0,0.001
3,3,1,0,0
3,4,1,0,0
4,1,0.9415,0,0.0585
4,2,0.9965,0,0.0035
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0.5905,0,0.4095
5,2,0.995,0,0.005
5,3,0.9965,0,0.0035
5,4,0.997,0,0.003
6,1,0.03,0.0145,0.9555
6,2,0.8255,0.0275,0.147
6,3,0.9675,0.028,0.0045
6,4,0.969,0.028,0.003
7,1,0,0.9555,0.0445
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9855,0.0145
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.999,0.001
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.9855,0.0145
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
