y,fzone,punt,kick,gofor
1,1,0.1155,0,0.8845
1,2,0.92,0,0.08
1,3,1,0,0
1,4,1,0,0
2,1,0.0735,0,0.9265
2,2,0.9285,0,0.0715
2,3,1,0,0
2,4,1,0,0
3,1,0.235,0,0.765
3,2,0.991,0,0.009
3,3,1,0,0
3,4,1,0,0
4,1,0.017,0,0.983
4,2,0.824,0,0.176
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.038,0,0.962
5,3,0.9765,0,0.0235
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.156,0.0915,0.7525
6,4,0.864,0.1215,0.0145
7,1,0,0.367,0.633
7,2,0,0.99,0.01
7,3,0,1,0
7,4,0,1,0
8,1,0,0.091,0.909
8,2,0,0.9695,0.0305
8,3,0,1,0
8,4,0,1,0
9,1,0,0.7385,0.2615
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0175,0.9825
10,2,0,0.818,0.182
10,3,0,0.998,0.002
10,4,0,1,0
