y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.3165,0,0.6835
1,3,0.996,0,0.004
1,4,1,0,0
2,1,0.0005,0,0.9995
2,2,0.2805,0,0.7195
2,3,0.9985,0,0.0015
2,4,1,0,0
3,1,0.002,0,0.998
3,2,0.5375,0,0.4625
3,3,0.999,0,0.001
3,4,1,0,0
4,1,0,0,1
4,2,0.0085,0,0.9915
4,3,0.9595,0,0.0405
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.095,0,0.905
5,4,0.9635,0,0.0365
6,1,0,0.008,0.992
6,2,0,0.025,0.975
6,3,0,0.084,0.916
6,4,0.168,0.209,0.623
7,1,0,0.0345,0.9655
7,2,0,0.8325,0.1675
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.1075,0.8925
8,3,0,0.9955,0.0045
8,4,0,1,0
9,1,0,0.027,0.973
9,2,0,0.8805,0.1195
9,3,0,0.999,0.001
9,4,0,1,0
10,1,0,0,1
10,2,0,0.0455,0.9545
10,3,0,0.841,0.159
10,4,0,0.9815,0.0185
