y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0205,0,0.9795
1,3,0.8765,0,0.1235
1,4,1,0,0
2,1,0,0,1
2,2,0.1095,0,0.8905
2,3,0.9915,0,0.0085
2,4,1,0,0
3,1,0,0,1
3,2,0.074,0,0.926
3,3,0.994,0,0.006
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.554,0,0.446
4,4,0.9975,0,0.0025
5,1,0,0,1
5,2,0,0,1
5,3,0.0045,0,0.9955
5,4,0.66,0,0.34
6,1,0,0.0085,0.9915
6,2,0,0.0255,0.9745
6,3,0,0.0855,0.9145
6,4,0.024,0.224,0.752
7,1,0,0.0115,0.9885
7,2,0,0.69,0.31
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0055,0.9945
8,3,0,0.9535,0.0465
8,4,0,1,0
9,1,0,0.001,0.999
9,2,0,0.598,0.402
9,3,0,0.9885,0.0115
9,4,0,0.9995,0.0005
10,1,0,0,1
10,2,0,0.0025,0.9975
10,3,0,0.6105,0.3895
10,4,0,0.954,0.046
