y,fzone,punt,kick,gofor
1,1,0.034,0,0.966
1,2,0.768,0,0.232
1,3,1,0,0
1,4,1,0,0
2,1,0.0185,0,0.9815
2,2,0.7555,0,0.2445
2,3,1,0,0
2,4,1,0,0
3,1,0.0685,0,0.9315
3,2,0.942,0,0.058
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.478,0,0.522
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.8095,0,0.1905
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.0265,0.9735
6,3,0.0165,0.0885,0.895
6,4,0.7225,0.1575,0.12
7,1,0,0.2205,0.7795
7,2,0,0.9755,0.0245
7,3,0,1,0
7,4,0,1,0
8,1,0,0.013,0.987
8,2,0,0.8415,0.1585
8,3,0,1,0
8,4,0,1,0
9,1,0,0.4315,0.5685
9,2,0,0.998,0.002
9,3,0,1,0
9,4,0,1,0
10,1,0,0.001,0.999
10,2,0,0.5255,0.4745
10,3,0,0.9865,0.0135
10,4,0,0.9995,0.0005
