y,fzone,punt,kick,gofor
1,1,0.5105,0,0.4895
1,2,0.996,0,0.004
1,3,1,0,0
1,4,1,0,0
2,1,0.3845,0,0.6155
2,2,0.994,0,0.006
2,3,1,0,0
2,4,1,0,0
3,1,0.68,0,0.32
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.2645,0,0.7355
4,2,0.992,0,0.008
4,3,1,0,0
4,4,1,0,0
5,1,0.003,0,0.997
5,2,0.568,0,0.432
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0.001,0.034,0.965
6,3,0.7605,0.0705,0.169
6,4,0.9285,0.0715,0
7,1,0,0.6805,0.3195
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.541,0.459
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9725,0.0275
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.26,0.74
10,2,0,0.9915,0.0085
10,3,0,1,0
10,4,0,1,0
