y,fzone,punt,kick,gofor
1,1,0.013,0,0.987
1,2,0.681,0,0.319
1,3,1,0,0
1,4,1,0,0
2,1,0.0085,0,0.9915
2,2,0.67,0,0.33
2,3,1,0,0
2,4,1,0,0
3,1,0.043,0,0.957
3,2,0.906,0,0.094
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.333,0,0.667
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.662,0,0.338
5,4,0.9995,0,0.0005
6,1,0,0.009,0.991
6,2,0,0.0245,0.9755
6,3,0.0045,0.086,0.9095
6,4,0.6205,0.168,0.2115
7,1,0,0.157,0.843
7,2,0,0.9635,0.0365
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0045,0.9955
8,2,0,0.7165,0.2835
8,3,0,1,0
8,4,0,1,0
9,1,0,0.3095,0.6905
9,2,0,0.9935,0.0065
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0005,0.9995
10,2,0,0.386,0.614
10,3,0,0.978,0.022
10,4,0,0.9995,0.0005
