y,fzone,punt,kick,gofor
1,1,0.1865,0,0.8135
1,2,0.958,0,0.042
1,3,1,0,0
1,4,1,0,0
2,1,0.1265,0,0.8735
2,2,0.96,0,0.04
2,3,1,0,0
2,4,1,0,0
3,1,0.3425,0,0.6575
3,2,0.9945,0,0.0055
3,3,1,0,0
3,4,1,0,0
4,1,0.045,0,0.955
4,2,0.9205,0,0.0795
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.121,0,0.879
5,3,0.9945,0,0.0055
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.03,0.97
6,3,0.328,0.0845,0.5875
6,4,0.894,0.102,0.004
7,1,0,0.458,0.542
7,2,0,0.9945,0.0055
7,3,0,1,0
7,4,0,1,0
8,1,0,0.2075,0.7925
8,2,0,0.99,0.01
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8605,0.1395
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.052,0.948
10,2,0,0.924,0.076
10,3,0,0.9995,0.0005
10,4,0,1,0
