y,fzone,punt,kick,gofor
1,1,0.0025,0,0.9975
1,2,0.542,0,0.458
1,3,0.9995,0,0.0005
1,4,1,0,0
2,1,0.003,0,0.997
2,2,0.5205,0,0.4795
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0145,0,0.9855
3,2,0.7985,0,0.2015
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.129,0,0.871
4,3,0.9955,0,0.0045
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.4215,0,0.5785
5,4,0.9955,0,0.0045
6,1,0,0.009,0.991
6,2,0,0.0245,0.9755
6,3,0.001,0.086,0.913
6,4,0.4255,0.195,0.3795
7,1,0,0.1065,0.8935
7,2,0,0.938,0.062
7,3,0,1,0
7,4,0,1,0
8,1,0,0.001,0.999
8,2,0,0.518,0.482
8,3,0,1,0
8,4,0,1,0
9,1,0,0.174,0.826
9,2,0,0.982,0.018
9,3,0,1,0
9,4,0,1,0
10,1,0,0,1
10,2,0,0.231,0.769
10,3,0,0.953,0.047
10,4,0,0.997,0.003
