y,fzone,punt,kick,gofor
1,1,0.845,0,0.155
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.7405,0,0.2595
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.914,0,0.086
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.6515,0,0.3485
4,2,0.999,0,0.001
4,3,1,0,0
4,4,1,0,0
5,1,0.072,0,0.928
5,2,0.946,0,0.054
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0125,0.9875
6,2,0.097,0.0345,0.8685
6,3,0.943,0.052,0.005
6,4,0.948,0.052,0
7,1,0,0.8005,0.1995
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.7785,0.2215
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9945,0.0055
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.5535,0.4465
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
