y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0245,0,0.9755
1,3,0.854,0,0.146
1,4,0.9985,0,0.0015
2,1,0.002,0,0.998
2,2,0.108,0,0.892
2,3,0.983,0,0.017
2,4,0.9985,0,0.0015
3,1,0,0,1
3,2,0.094,0,0.906
3,3,0.99,0,0.01
3,4,1,0,0
4,1,0,0,1
4,2,0.0025,0,0.9975
4,3,0.65,0,0.35
4,4,0.9985,0,0.0015
5,1,0,0,1
5,2,0.0005,0,0.9995
5,3,0.0115,0,0.9885
5,4,0.7335,0,0.2665
6,1,0,0.008,0.992
6,2,0,0.026,0.974
6,3,0,0.084,0.916
6,4,0.052,0.2185,0.7295
7,1,0,0.026,0.974
7,2,0,0.757,0.243
7,3,0,0.9955,0.0045
7,4,0,1,0
8,1,0,0,1
8,2,0,0.03,0.97
8,3,0,0.965,0.035
8,4,0,0.999,0.001
9,1,0,0.008,0.992
9,2,0,0.7295,0.2705
9,3,0,0.9895,0.0105
9,4,0,0.999,0.001
10,1,0,0,1
10,2,0,0.011,0.989
10,3,0,0.7085,0.2915
10,4,0,0.964,0.036
