y,fzone,punt,kick,gofor
1,1,0.1535,0,0.8465
1,2,0.951,0,0.049
1,3,1,0,0
1,4,1,0,0
2,1,0.088,0,0.912
2,2,0.9385,0,0.0615
2,3,1,0,0
2,4,1,0,0
3,1,0.265,0,0.735
3,2,0.991,0,0.009
3,3,1,0,0
3,4,1,0,0
4,1,0.056,0,0.944
4,2,0.916,0,0.084
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.24,0,0.76
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.028,0.972
6,3,0.562,0.0745,0.3635
6,4,0.914,0.084,0.002
7,1,0,0.513,0.487
7,2,0,0.996,0.004
7,3,0,1,0
7,4,0,1,0
8,1,0,0.43,0.57
8,2,0,0.998,0.002
8,3,0,1,0
8,4,0,1,0
9,1,0,0.948,0.052
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.316,0.684
10,2,0,0.985,0.015
10,3,0,0.9995,0.0005
10,4,0,1,0
