y,fzone,punt,kick,gofor
1,1,0.377,0,0.623
1,2,0.991,0,0.009
1,3,1,0,0
1,4,1,0,0
2,1,0.2345,0,0.7655
2,2,0.982,0,0.018
2,3,1,0,0
2,4,1,0,0
3,1,0.5175,0,0.4825
3,2,0.9975,0,0.0025
3,3,1,0,0
3,4,1,0,0
4,1,0.233,0,0.767
4,2,0.989,0,0.011
4,3,1,0,0
4,4,1,0,0
5,1,0.0075,0,0.9925
5,2,0.699,0,0.301
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0.009,0.0255,0.9655
6,3,0.899,0.052,0.049
6,4,0.948,0.052,0
7,1,0,0.3515,0.6485
7,2,0,0.9855,0.0145
7,3,0,1,0
7,4,0,1,0
8,1,0,0.2205,0.7795
8,2,0,0.9825,0.0175
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8335,0.1665
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.154,0.846
10,2,0,0.9055,0.0945
10,3,0,0.9975,0.0025
10,4,0,1,0
