y,fzone,punt,kick,gofor
1,1,0.975,0,0.025
1,2,0.9995,0,0.0005
1,3,1,0,0
1,4,1,0,0
2,1,0.9545,0,0.0455
2,2,0.999,0,0.001
2,3,1,0,0
2,4,1,0,0
3,1,0.9885,0,0.0115
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.934,0,0.066
4,2,0.997,0,0.003
4,3,1,0,0
4,4,1,0,0
5,1,0.533,0,0.467
5,2,0.9945,0,0.0055
5,3,0.997,0,0.003
5,4,0.9975,0,0.0025
6,1,0.0185,0.0145,0.967
6,2,0.772,0.0295,0.1985
6,3,0.9665,0.03,0.0035
6,4,0.967,0.03,0.003
7,1,0,0.953,0.047
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9875,0.0125
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9995,0.0005
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.991,0.009
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
