y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0265,0,0.9735
1,3,0.855,0,0.145
1,4,0.9985,0,0.0015
2,1,0.0005,0,0.9995
2,2,0.1055,0,0.8945
2,3,0.9815,0,0.0185
2,4,0.9985,0,0.0015
3,1,0,0,1
3,2,0.086,0,0.914
3,3,0.986,0,0.014
3,4,1,0,0
4,1,0,0,1
4,2,0.0025,0,0.9975
4,3,0.613,0,0.387
4,4,0.996,0,0.004
5,1,0,0,1
5,2,0,0,1
5,3,0.009,0,0.991
5,4,0.7005,0,0.2995
6,1,0,0.0085,0.9915
6,2,0,0.026,0.974
6,3,0,0.0845,0.9155
6,4,0.043,0.218,0.739
7,1,0,0.024,0.976
7,2,0,0.729,0.271
7,3,0,0.9905,0.0095
7,4,0,1,0
8,1,0,0,1
8,2,0,0.023,0.977
8,3,0,0.956,0.044
8,4,0,0.9955,0.0045
9,1,0,0.005,0.995
9,2,0,0.677,0.323
9,3,0,0.9865,0.0135
9,4,0,0.9985,0.0015
10,1,0,0,1
10,2,0,0.0075,0.9925
10,3,0,0.6755,0.3245
10,4,0,0.9565,0.0435
