y,fzone,punt,kick,gofor
1,1,0.9805,0,0.0195
1,2,0.9845,0,0.0155
1,3,0.991,0,0.009
1,4,0.998,0,0.002
2,1,0.9855,0,0.0145
2,2,0.9875,0,0.0125
2,3,0.989,0,0.011
2,4,0.9945,0,0.0055
3,1,0.988,0,0.012
3,2,0.99,0,0.01
3,3,0.9915,0,0.0085
3,4,0.997,0,0.003
4,1,0.984,0,0.016
4,2,0.987,0,0.013
4,3,0.989,0,0.011
4,4,0.993,0,0.007
5,1,0.894,0,0.106
5,2,0.991,0,0.009
5,3,0.992,0,0.008
5,4,0.9935,0,0.0065
6,1,0.225,0.0145,0.7605
6,2,0.9675,0.0185,0.014
6,3,0.9765,0.0185,0.005
6,4,0.9765,0.0185,0.005
7,1,0,0.941,0.059
7,2,0.0025,0.9735,0.024
7,3,0.0135,0.9865,0
7,4,0.0135,0.9865,0
8,1,0,0.9635,0.0365
8,2,0,0.9705,0.0295
8,3,0,0.9865,0.0135
8,4,0,0.9995,0.0005
9,1,0,0.9705,0.0295
9,2,0,0.9815,0.0185
9,3,0,0.996,0.004
9,4,0,0.998,0.002
10,1,0,0.9665,0.0335
10,2,0,0.9705,0.0295
10,3,0,0.9735,0.0265
10,4,0,0.9795,0.0205
