y,fzone,punt,kick,gofor
1,1,0.55,0,0.45
1,2,0.9975,0,0.0025
1,3,1,0,0
1,4,1,0,0
2,1,0.4145,0,0.5855
2,2,0.996,0,0.004
2,3,1,0,0
2,4,1,0,0
3,1,0.7135,0,0.2865
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.302,0,0.698
4,2,0.9935,0,0.0065
4,3,1,0,0
4,4,1,0,0
5,1,0.0055,0,0.9945
5,2,0.657,0,0.343
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0105,0.9895
6,2,0.003,0.0325,0.9645
6,3,0.8145,0.0665,0.119
6,4,0.9325,0.0675,0
7,1,0,0.657,0.343
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.515,0.485
8,2,0,0.9995,0.0005
8,3,0,1,0
8,4,0,1,0
9,1,0,0.965,0.035
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.24,0.76
10,2,0,0.9875,0.0125
10,3,0,1,0
10,4,0,1,0
