y,fzone,punt,kick,gofor
1,1,0.0495,0,0.9505
1,2,0.829,0,0.171
1,3,1,0,0
1,4,1,0,0
2,1,0.027,0,0.973
2,2,0.8165,0,0.1835
2,3,1,0,0
2,4,1,0,0
3,1,0.1095,0,0.8905
3,2,0.96,0,0.04
3,3,1,0,0
3,4,1,0,0
4,1,0.0025,0,0.9975
4,2,0.5805,0,0.4195
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0015,0,0.9985
5,3,0.885,0,0.115
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.026,0.974
6,3,0.0325,0.089,0.8785
6,4,0.7725,0.15,0.0775
7,1,0,0.241,0.759
7,2,0,0.9795,0.0205
7,3,0,1,0
7,4,0,1,0
8,1,0,0.02,0.98
8,2,0,0.8765,0.1235
8,3,0,1,0
8,4,0,1,0
9,1,0,0.4865,0.5135
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.59,0.41
10,3,0,0.9885,0.0115
10,4,0,0.9995,0.0005
