y,fzone,punt,kick,gofor
1,1,0.1575,0,0.8425
1,2,0.9525,0,0.0475
1,3,1,0,0
1,4,1,0,0
2,1,0.092,0,0.908
2,2,0.9405,0,0.0595
2,3,1,0,0
2,4,1,0,0
3,1,0.278,0,0.722
3,2,0.9915,0,0.0085
3,3,1,0,0
3,4,1,0,0
4,1,0.0595,0,0.9405
4,2,0.929,0,0.071
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.2615,0,0.7385
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.028,0.972
6,3,0.5895,0.074,0.3365
6,4,0.918,0.0805,0.0015
7,1,0,0.523,0.477
7,2,0,0.996,0.004
7,3,0,1,0
7,4,0,1,0
8,1,0,0.4505,0.5495
8,2,0,0.9985,0.0015
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9505,0.0495
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.3405,0.6595
10,2,0,0.9865,0.0135
10,3,0,0.9995,0.0005
10,4,0,1,0
