y,fzone,punt,kick,gofor
1,1,0.0095,0,0.9905
1,2,0.626,0,0.374
1,3,0.9995,0,0.0005
1,4,1,0,0
2,1,0.0065,0,0.9935
2,2,0.597,0,0.403
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.028,0,0.972
3,2,0.836,0,0.164
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.2405,0,0.7595
4,3,0.9975,0,0.0025
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.58,0,0.42
5,4,0.9965,0,0.0035
6,1,0,0.0095,0.9905
6,2,0,0.03,0.97
6,3,0.002,0.0945,0.9035
6,4,0.558,0.185,0.257
7,1,0,0.2295,0.7705
7,2,0,0.9715,0.0285
7,3,0,1,0
7,4,0,1,0
8,1,0,0.009,0.991
8,2,0,0.7875,0.2125
8,3,0,1,0
8,4,0,1,0
9,1,0,0.3595,0.6405
9,2,0,0.9955,0.0045
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0005,0.9995
10,2,0,0.42,0.58
10,3,0,0.9805,0.0195
10,4,0,0.9995,0.0005
