y,fzone,punt,kick,gofor
1,1,0.068,0,0.932
1,2,0.882,0,0.118
1,3,1,0,0
1,4,1,0,0
2,1,0.0355,0,0.9645
2,2,0.8205,0,0.1795
2,3,1,0,0
2,4,1,0,0
3,1,0.129,0,0.871
3,2,0.9595,0,0.0405
3,3,1,0,0
3,4,1,0,0
4,1,0.0175,0,0.9825
4,2,0.771,0,0.229
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0815,0,0.9185
5,3,0.989,0,0.011
5,4,1,0,0
6,1,0,0.008,0.992
6,2,0,0.0245,0.9755
6,3,0.3475,0.075,0.5775
6,4,0.9045,0.091,0.0045
7,1,0,0.3345,0.6655
7,2,0,0.988,0.012
7,3,0,1,0
7,4,0,1,0
8,1,0,0.193,0.807
8,2,0,0.9895,0.0105
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8735,0.1265
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1215,0.8785
10,2,0,0.9605,0.0395
10,3,0,0.9995,0.0005
10,4,0,1,0
