y,fzone,punt,kick,gofor
1,1,0.142,0,0.858
1,2,0.943,0,0.057
1,3,1,0,0
1,4,1,0,0
2,1,0.102,0,0.898
2,2,0.9485,0,0.0515
2,3,1,0,0
2,4,1,0,0
3,1,0.2965,0,0.7035
3,2,0.9925,0,0.0075
3,3,1,0,0
3,4,1,0,0
4,1,0.0275,0,0.9725
4,2,0.883,0,0.117
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.065,0,0.935
5,3,0.989,0,0.011
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0285,0.9715
6,3,0.2185,0.0895,0.692
6,4,0.8775,0.114,0.0085
7,1,0,0.4095,0.5905
7,2,0,0.994,0.006
7,3,0,1,0
7,4,0,1,0
8,1,0,0.133,0.867
8,2,0,0.984,0.016
8,3,0,1,0
8,4,0,1,0
9,1,0,0.795,0.205
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0285,0.9715
10,2,0,0.873,0.127
10,3,0,0.999,0.001
10,4,0,1,0
