y,fzone,punt,kick,gofor
1,1,0.976,0,0.024
1,2,0.999,0,0.001
1,3,1,0,0
1,4,1,0,0
2,1,0.958,0,0.042
2,2,0.9965,0,0.0035
2,3,1,0,0
2,4,1,0,0
3,1,0.9875,0,0.0125
3,2,0.999,0,0.001
3,3,1,0,0
3,4,1,0,0
4,1,0.9415,0,0.0585
4,2,0.9965,0,0.0035
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0.5835,0,0.4165
5,2,0.995,0,0.005
5,3,0.9965,0,0.0035
5,4,0.997,0,0.003
6,1,0.0285,0.0145,0.957
6,2,0.817,0.0285,0.1545
6,3,0.9665,0.029,0.0045
6,4,0.968,0.029,0.003
7,1,0,0.9555,0.0445
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9865,0.0135
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9995,0.0005
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.9865,0.0135
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
